Issue Type,Project Key,Summary,Description,Category,Priority,Labels
Task,PLATSEC,"Remove any and all make/model/version numbers from login pages, unauthenticated public access pages, login prompts, network issue texts of all third-party software that you may be using.",,General,1,PracPlatSec
Task,PLATSEC,"Stop checking-in SECRETS/PASSWORDS/Certificates/Private Keys into your source code repositories. Use passbolt/vault or equivalent.,,General,1,PracPlatSec
Task,PLATSEC,"Implement or enable audit and access logging for all systems that allow a login.",,General,1,PracPlatSec
Task,PLATSEC,"Run separated Dev, Staging, Production environments, preferably with no direct network connectivity between them.",,General,1,PracPlatSec
Task,PLATSEC,"When using self signed certificates, Create and use separate root CAs and corresponding trust-chains for each environment and do not trust development, staging signers/CAs in production and vice versa.",,General,1,PracPlatSec
Task,PLATSEC,"For non-browser client applications that connect to your services always use certificate key pinning. That is to say,  build-in a set of trusted CA public keys in your application code and ensure that the CA chain is used for all connections at your service. You may need more than a couple of keys in case you need to rotate the certificates or decommission CAs.",,General,1,PracPlatSec
Task,PLATSEC,"When connecting to external third-party services, enable OCSP (Certificate Status) checks on the client pods, software, wherever possible. In programmed code implement/enable OCSP checks. Check your third party software configuration and enable OCSP  ",,General,1,PracPlatSec
Task,PLATSEC,"Disable all automatic software/module updates from internet third party / open source repositories.",,Thirdparty and Opensource,1,PracPlatSec
Task,PLATSEC,"Establish a process for periodic review of third party CVCEs and updates to this software modules.",,Thirdparty and Opensource,1,PracPlatSec
Task,PLATSEC,"Ensure that your build system can complete a full build and produce artefacts without any access to the internet. This may sound oxymoronic to modern programming paradigms, and this may also mean maintaining copies of the right forked versions of third party or open source code inside your corporate repos and keeping them up to date.",,Thirdparty and Opensource,  1,PracPlatSec
Task,PLATSEC,"Build all open source third party code from labelled sources yourself. Try to avoid using pre-built binaries, wherever possible.",,Thirdparty and Opensource,  1,PracPlatSec
Task,PLATSEC,"For all open source / third party software images/containers deployed - always maintain the version numbers easily accessible along with their licences. This should include anything pulled by imports such as -  go imports, maven imports, npm, reactjs, vue-js dependencies etc.",,Thirdparty and Opensource, 1,PracPlatSec
Task,PLATSEC,"Ensure your build system can produce EXACTLY the same artefacts for every build, if there are no commits to your codebase and no changes to the build system (AKA ensure there are no unintended pulls/upgrades to imported, third party modules, dependencies during the build process)  ",,Thirdparty and Opensource, 1,PracPlatSec
Task,PLATSEC,"Avoid unintended DNS leaks, Ensure all internal names are resolved internally. Avoid DNS poisoning issues.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Avoid DNS leaks in development servers and development PCs also.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Stop configuring public DNS servers like 4.4.4.4, 8.8.8.8 etc on all your vms, pods and container images. Allow the containers to use the k8s-DNS. Allow k8s DNS to point to a  filtering outbound DNS proxy centrally in your cluster. Manage the external DNS that you want to use centrally.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Enable category, IP, reputation, and geography based DNS filters on your filtering DNS proxy.   ",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Cloudflare and several other vendors offer services that cater to this need  ",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Add Certification Authority Authorization CAA records on your DNS for your domains where they have publicly exposed services that your client applications connect to.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Consider adding DNSSEC records for your domain name - if you're a web-based service.   ",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Ensure SPF and DMARC records are configured properly on your DNS. Ensure DKIM keys are configured on your system.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Update DNS configuration to limit recursion/forwarding.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Limit the subnets/source Ips that an internal DNS server responds to  ",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Disable DNS 'updates' where not necessary.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Have an automated/robust process to renew DNS domain names.",,Infrastructure-DNS,1,PracPlatSec
Task,PLATSEC,"Where possible use an internal NTP Secondary within your cluster.   ",,Infrastructure-DNS,1,PracPlatSec

Task,PLATSEC,"Turn off automatic software updates on all production servers. But selectively enable only automatic security patching on your systems.",, Servers, 1,PracPlatSec
Task,PLATSEC,"Deploy endpoint monitoring agent and a syslog forwarding agents on all your servers and ensure they start at boot time and they actively send data out to a central monitoring system.",, Servers, 1,PracPlatSec
Task,PLATSEC,"Disallow SSH forwarding, disallow root logins from remote (Use console), disallow empty passwords, Remove any login prompt/issue text exposing OS and kernel version on your servers.   ",, Servers, 1,PracPlatSec
Task,PLATSEC,"Disallow/Do not accept any old ciphers such as CBC (instead use AES+GCM) and old hashes such as MD5, SHA1 etc in the SSH, Webserver TLS configurations.	Ensure this is done in programmed server/client code also.",, Servers, 1,PracPlatSec

Task,PLATSEC,"Stop  exposing kubernetes control planes and dashboards of dev/test systems to everyone on the internet.  Use VPNs via a bastion host to your control plane. Use IP Whitelists.",,Kubernetes,1,PracPlatSec
Task,PLATSEC,"Enable HTTPS for kubernetes API server access for development, staging, production.",,Kubernetes,1,PracPlatSec
Task,PLATSEC,"Allow only authenticated access   ",,Kubernetes,1,PracPlatSec
